_id,timestamp,double_values_0,double_values_1,double_values_2,accuracy
10243,1373576754957,-2.022399902,4.07611084,8.414657593,2
10244,1373576754986,-2.02835083,3.991607666,8.581283569,2
10245,1373576755279,-1.834350586,4.0546875,8.830032349,2
10246,1373576755480,-1.836730957,3.726196289,8.970474243,2
10247,1373576755681,-1.636779785,3.909484863,6.799575806,2
10248,1373576755882,-1.77722168,4.066589355,8.751480103,2
10249,1373576756083,-1.767700195,3.992797852,8.851455688,2
10250,1373576756288,-1.90814209,3.585754395,8.825271606,2
10251,1373576756492,-1.791503906,3.769042969,8.849075317,2
10252,1373576756690,-1.860534668,3.747619629,8.682449341,2
10253,1373576756891,-1.993835449,3.545288086,8.834793091,2
10254,1373576757091,-2.143798828,3.273925781,8.994277954,2
10255,1373576757293,-2.229492188,4.080871582,8.584854126,2
10256,1373576757495,-2.467529297,4.383178711,8.211135864,2
10257,1373576757696,-0.77746582,4.176086426,9.632217407,2
10258,1373576757898,-0.867919922,4.278442383,9.684585571,2
10259,1373576758098,-1.553466797,3.999938965,10.09162903,2
10260,1373576758300,-2.317565918,3.121582031,9.382278442,2
10261,1373576758501,-2.036682129,3.195373535,9.194229126,2
10262,1373576758703,-1.917663574,3.283447266,9.329910278,2
10263,1373576758905,-1.53918457,3.764282227,9.118057251,2
10264,1373576759107,-1.601074219,3.578613281,9.206130981,2
10265,1373576759308,-1.674865723,3.521484375,8.908584595,2
10266,1373576759510,-1.558227539,4.11895752,9.315628052,2
10267,1373576759711,-1.710571289,4.171325684,8.78956604,2
10268,1373576759912,-1.748657227,4.149902344,8.603897095,2
10269,1373576760314,-1.698669434,4.24987793,8.684829712,2
10270,1373576760338,-1.762939453,4.212982178,8.695541382,2
10271,1373576760355,-1.90814209,4.058258057,8.684829712,2
10272,1373576760374,-1.878387451,4.055877686,8.628890991,2
10273,1373576760394,-1.852203369,4.111816406,8.63722229,2
10274,1373576760418,-1.802215576,4.178466797,8.62651062,2
10275,1373576760444,-1.674865723,4.093963623,8.478927612,2
10276,1373576760471,-1.704620361,4.227264404,8.588424683,2
10277,1373576760516,-1.995025635,4.107055664,9.04069519,2
10278,1373576760534,-1.910522461,3.744049072,8.969284058,2
10279,1373576760551,-1.526092529,4.028503418,8.820510864,2
10280,1373576760567,-1.436828613,4.414123535,8.609848022,2
10281,1373576760588,-1.511810303,4.520050049,8.275405884,2
10282,1373576760606,-1.84387207,4.328430176,8.018325806,2
10283,1373576760633,-1.657012939,4.172515869,8.165908813,2
10284,1373576760653,-1.8331604,4.042785645,9.013320923,2
10285,1373576760670,-1.661773682,3.970184326,9.116867065,2
10286,1373576760688,-2.377075195,4.347473145,10.05473328,2
